season,episode,feature,artist,artist_name,artist_relationship
1,1,BUSHES,BOB_ROSS,Bob Ross,Himself
1,1,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
1,1,GRASS,BOB_ROSS,Bob Ross,Himself
1,1,RIVER,BOB_ROSS,Bob Ross,Himself
1,1,TREE,BOB_ROSS,Bob Ross,Himself
1,1,TREES,BOB_ROSS,Bob Ross,Himself
1,2,CABIN,BOB_ROSS,Bob Ross,Himself
1,2,CLOUDS,BOB_ROSS,Bob Ross,Himself
1,2,CONIFER,BOB_ROSS,Bob Ross,Himself
1,2,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
1,2,SNOW,BOB_ROSS,Bob Ross,Himself
1,2,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
1,2,TREE,BOB_ROSS,Bob Ross,Himself
1,2,TREES,BOB_ROSS,Bob Ross,Himself
1,2,WINTER,BOB_ROSS,Bob Ross,Himself
1,3,CABIN,BOB_ROSS,Bob Ross,Himself
1,3,CONIFER,BOB_ROSS,Bob Ross,Himself
1,3,FENCE,BOB_ROSS,Bob Ross,Himself
1,3,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
1,3,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
1,3,STRUCTURE,BOB_ROSS,Bob Ross,Himself
1,3,SUN,BOB_ROSS,Bob Ross,Himself
1,3,TREE,BOB_ROSS,Bob Ross,Himself
1,3,TREES,BOB_ROSS,Bob Ross,Himself
1,3,WINTER,BOB_ROSS,Bob Ross,Himself
1,4,BUSHES,BOB_ROSS,Bob Ross,Himself
1,4,CLOUDS,BOB_ROSS,Bob Ross,Himself
1,4,CONIFER,BOB_ROSS,Bob Ross,Himself
1,4,LAKE,BOB_ROSS,Bob Ross,Himself
1,4,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
1,4,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
1,4,TREE,BOB_ROSS,Bob Ross,Himself
1,4,TREES,BOB_ROSS,Bob Ross,Himself
1,5,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
1,5,RIVER,BOB_ROSS,Bob Ross,Himself
1,5,ROCKS,BOB_ROSS,Bob Ross,Himself
1,5,TREE,BOB_ROSS,Bob Ross,Himself
