feature,feature_id
Apple Frame,1
Aurora Borealis,2
Barn,3
Beach,4
Boat,5
Bridge,6
Building,7
Bushes,8
Cabin,9
Cactus,10
Circle Frame,11
Cirrus,12
Cliff,13
Clouds,14
Conifer,15
Cumulus,16
Deciduous,17
Dock,18
Double Oval Frame,19
Farm,20
Fence,21
Fire,22
Florida Frame,23
Flowers,24
Fog,25
Framed,26
Grass,27
Half Circle Frame,28
Half Oval Frame,29
Hills,30
Lake,31
Lighthouse,32
Mill,33
Moon,34
Mountain,35
Mountains,36
Night,37
Ocean,38
Oval Frame,39
Palm Trees,40
Path,41
Person,42
Portrait,43
Rectangle 3D Frame,44
Rectangular Frame,45
River,46
Rocks,47
Seashell Frame,48
Snow,49
Snowy Mountain,50
Split Frame,51
Structure,52
Sun,53
Tomb Frame,54
Tree,55
Trees,56
Triple Frame,57
Waterfall,58
Waves,59
Windmill,60
Window Frame,61
Winter,62
Wood Framed,63
