season,episode,feature_id
1,1,8
1,1,17
1,1,27
1,1,46
1,1,55
1,1,56
1,2,9
1,2,14
1,2,15
1,2,35
1,2,49
1,2,50
1,2,55
1,2,56
1,2,62
1,3,9
1,3,15
1,3,21
1,3,35
1,3,36
1,3,52
1,3,53
1,3,55
1,3,56
1,3,62
1,4,8
1,4,14
1,4,15
1,4,31
1,4,35
1,4,50
1,4,55
1,4,56
1,5,17
1,5,46
1,5,47
1,5,55
1,5,56
1,6,9
1,6,15
1,6,31
1,6,34
1,6,35
1,6,36
1,6,37
1,6,49
1,6,50
1,6,52
1,6,55
1,6,56
1,6,62
1,7,17
1,7,31
1,7,35
1,7,36
1,7,50
1,7,55
1,7,56
1,8,8
1,8,15
1,8,31
1,8,35
1,8,36
1,8,55
1,8,56
1,9,4
1,9,14
1,9,21
1,9,38
1,10,8
1,10,15
1,10,17
1,10,31
1,10,35
1,10,55
1,10,56
1,11,17
1,11,31
1,11,55
1,11,56
1,12,12
1,12,14
1,12,15
1,12,31
1,12,35
1,12,36
1,12,50
1,12,55
1,12,56
1,13,8
1,13,15
1,13,17
1,13,27
1,13,35
1,13,50
1,13,55
1,13,56
2,1,8
2,1,15
2,1,16
2,1,17
2,1,27
2,1,31
2,1,35
2,1,50
2,1,55
2,1,56
2,2,15
2,2,31
2,2,49
2,2,53
2,2,55
2,2,56
2,3,14
2,3,16
2,3,17
2,3,38
2,3,53
2,3,55
2,3,56
2,3,59
2,4,8
2,4,9
2,4,14
2,4,15
2,4,16
2,4,17
2,4,31
2,4,35
2,4,36
2,4,49
2,4,50
2,4,52
2,4,55
2,4,56
2,5,8
2,5,17
2,5,27
2,5,31
2,5,55
2,5,56
2,6,8
2,6,14
2,6,16
2,6,17
2,6,27
2,6,46
2,6,55
2,6,56
2,7,14
2,7,15
2,7,16
2,7,27
2,7,31
2,7,35
2,7,36
2,7,55
2,7,56
2,8,8
2,8,12
2,8,14
2,8,15
2,8,31
2,8,35
2,8,50
2,8,55
2,8,56
2,9,12
2,9,16
2,9,17
2,9,38
2,9,47
2,9,53
2,9,55
2,9,56
2,9,59
2,10,17
2,10,27
2,10,46
2,10,55
2,10,56
2,11,8
2,11,14
2,11,15
2,11,16
2,11,17
2,11,27
2,11,46
2,11,47
2,11,55
2,11,56
2,11,58
2,12,17
2,12,27
2,12,31
2,12,35
2,12,36
2,12,50
2,12,55
2,12,56
2,12,58
2,13,8
2,13,14
2,13,15
2,13,16
2,13,31
2,13,35
2,13,36
2,13,50
2,13,55
2,13,56
3,1,8
3,1,9
3,1,15
3,1,17
3,1,31
3,1,35
3,1,36
3,1,52
3,1,55
3,1,56
3,2,14
3,2,16
3,2,34
3,2,37
3,2,38
3,2,40
3,2,55
3,2,56
3,2,59
3,3,17
3,3,27
3,3,46
3,3,47
3,3,55
3,3,56
3,4,9
3,4,15
3,4,49
3,4,52
3,4,55
3,4,56
3,4,62
3,5,12
3,5,14
3,5,15
3,5,17
3,5,30
3,5,31
3,5,35
3,5,36
3,5,55
3,5,56
3,6,6
3,6,17
3,6,41
3,6,52
3,6,55
3,6,56
3,7,17
3,7,31
3,7,35
3,7,36
3,7,55
3,7,56
3,8,13
3,8,14
3,8,16
3,8,32
3,8,37
3,8,38
3,8,52
3,8,59
3,9,8
3,9,9
3,9,14
3,9,16
3,9,17
3,9,33
3,9,46
3,9,52
3,9,55
3,9,56
3,10,8
3,10,17
3,10,22
3,10,31
3,10,42
3,10,55
3,10,56
3,11,3
3,11,17
3,11,21
3,11,31
3,11,52
3,11,55
3,11,56
3,12,8
3,12,15
3,12,17
3,12,31
3,12,35
3,12,36
3,12,55
3,12,56
4,1,9
4,1,15
4,1,31
4,1,49
4,1,52
4,1,55
4,1,56
4,1,62
4,2,8
4,2,14
4,2,16
4,2,17
4,2,27
4,2,31
4,2,35
4,2,36
4,2,55
4,2,56
4,3,8
4,3,15
4,3,27
4,3,35
4,3,36
4,3,50
4,3,55
4,3,56
4,5,4
4,5,13
4,5,14
4,5,15
4,5,16
4,5,38
4,5,47
4,5,55
4,5,56
4,5,59
4,6,8
4,6,17
4,6,31
4,6,55
4,6,56
4,7,9
4,7,17
4,7,27
4,7,41
4,7,52
4,7,55
4,7,56
4,8,15
4,8,17
4,8,27
4,8,31
4,8,55
4,8,56
4,9,8
4,9,14
4,9,15
4,9,31
4,9,35
4,9,36
4,9,50
4,9,55
4,9,56
4,10,8
4,10,15
4,10,27
4,10,46
4,10,55
4,10,56
4,12,17
4,12,27
4,12,30
4,12,31
4,12,55
4,12,56
4,13,15
4,13,27
4,13,31
4,13,35
4,13,50
4,13,55
5,1,8
5,1,14
5,1,15
5,1,16
5,1,31
5,1,35
5,1,36
5,1,50
5,1,55
5,1,56
5,1,58
5,2,14
5,2,16
5,2,17
5,2,27
5,2,31
5,2,55
5,2,56
5,4,15
5,4,17
5,4,31
5,4,49
5,4,55
5,4,56
5,4,62
5,5,17
5,5,27
5,5,31
5,5,55
5,5,56
5,7,17
5,7,27
5,7,46
5,7,47
5,7,55
5,7,56
5,8,17
5,8,27
5,8,35
5,8,36
5,8,46
5,8,55
5,8,56
5,10,3
5,10,14
5,10,17
5,10,41
5,10,52
5,10,55
5,10,60
5,11,8
5,11,14
5,11,16
5,11,17
5,11,27
5,11,31
5,11,35
5,11,47
5,11,50
5,11,55
