,date,value,symbol,price_type,company,sector,exchange
0,2020-09-01,132.759995,AAPL,open,Apple Inc.,Information Technology,NASDAQ
1,2020-09-02,137.589996,AAPL,open,Apple Inc.,Information Technology,NASDAQ
2,2020-09-03,126.910004,AAPL,open,Apple Inc.,Information Technology,NASDAQ
3,2020-09-04,120.07,AAPL,open,Apple Inc.,Information Technology,NASDAQ
4,2020-09-08,113.949997,AAPL,open,Apple Inc.,Information Technology,NASDAQ
5,2020-09-09,117.260002,AAPL,open,Apple Inc.,Information Technology,NASDAQ
6,2020-09-10,120.360001,AAPL,open,Apple Inc.,Information Technology,NASDAQ
7,2020-09-11,114.57,AAPL,open,Apple Inc.,Information Technology,NASDAQ
8,2020-09-14,114.720001,AAPL,open,Apple Inc.,Information Technology,NASDAQ
9,2020-09-15,118.330002,AAPL,open,Apple Inc.,Information Technology,NASDAQ
10,2020-09-16,115.230003,AAPL,open,Apple Inc.,Information Technology,NASDAQ
11,2020-09-17,109.720001,AAPL,open,Apple Inc.,Information Technology,NASDAQ
12,2020-09-18,110.400002,AAPL,open,Apple Inc.,Information Technology,NASDAQ
13,2020-09-21,104.540001,AAPL,open,Apple Inc.,Information Technology,NASDAQ
14,2020-09-22,112.68,AAPL,open,Apple Inc.,Information Technology,NASDAQ
15,2020-09-23,111.620003,AAPL,open,Apple Inc.,Information Technology,NASDAQ
16,2020-09-24,105.169998,AAPL,open,Apple Inc.,Information Technology,NASDAQ
17,2020-09-25,108.43,AAPL,open,Apple Inc.,Information Technology,NASDAQ
18,2020-09-28,115.010002,AAPL,open,Apple Inc.,Information Technology,NASDAQ
19,2020-09-29,114.550003,AAPL,open,Apple Inc.,Information Technology,NASDAQ
20,2020-09-30,113.790001,AAPL,open,Apple Inc.,Information Technology,NASDAQ
21,2020-10-01,117.639999,AAPL,open,Apple Inc.,Information Technology,NASDAQ
22,2020-10-02,112.889999,AAPL,open,Apple Inc.,Information Technology,NASDAQ
23,2020-10-05,113.910004,AAPL,open,Apple Inc.,Information Technology,NASDAQ
24,2020-10-06,115.699997,AAPL,open,Apple Inc.,Information Technology,NASDAQ
25,2020-10-07,114.620003,AAPL,open,Apple Inc.,Information Technology,NASDAQ
26,2020-10-08,116.25,AAPL,open,Apple Inc.,Information Technology,NASDAQ
27,2020-10-09,115.279999,AAPL,open,Apple Inc.,Information Technology,NASDAQ
28,2020-10-12,120.059998,AAPL,open,Apple Inc.,Information Technology,NASDAQ
29,2020-10-13,125.269997,AAPL,open,Apple Inc.,Information Technology,NASDAQ
30,2020-10-14,121.0,AAPL,open,Apple Inc.,Information Technology,NASDAQ
31,2020-10-15,118.720001,AAPL,open,Apple Inc.,Information Technology,NASDAQ
32,2020-10-16,121.279999,AAPL,open,Apple Inc.,Information Technology,NASDAQ
33,2020-10-19,119.959999,AAPL,open,Apple Inc.,Information Technology,NASDAQ
34,2020-10-20,116.199997,AAPL,open,Apple Inc.,Information Technology,NASDAQ
35,2020-10-21,116.669998,AAPL,open,Apple Inc.,Information Technology,NASDAQ
36,2020-10-22,117.449997,AAPL,open,Apple Inc.,Information Technology,NASDAQ
37,2020-10-23,116.389999,AAPL,open,Apple Inc.,Information Technology,NASDAQ
38,2020-10-26,114.010002,AAPL,open,Apple Inc.,Information Technology,NASDAQ
39,2020-10-27,115.489998,AAPL,open,Apple Inc.,Information Technology,NASDAQ
40,2020-10-28,115.050003,AAPL,open,Apple Inc.,Information Technology,NASDAQ
