year,country_id,sex_id,age_group_id,count
1989,1,2,1,NULL
1990,1,2,1,NULL
1991,1,2,1,NULL
1992,1,2,1,NULL
1993,1,2,1,NULL
1994,1,2,1,NULL
1996,1,2,1,0.0
1997,1,2,1,0.0
1998,1,2,1,NULL
1999,1,2,1,0.0
2000,1,2,1,NULL
2001,1,2,1,NULL
2002,1,2,1,0.0
2003,1,2,1,0.0
2004,1,2,1,0.0
2005,1,2,1,0.0
2006,1,2,1,0.0
2007,1,2,1,NULL
2008,1,2,1,0.0
1980,2,2,1,NULL
1981,2,2,1,NULL
1982,2,2,1,NULL
1983,2,2,1,NULL
1984,2,2,1,NULL
1985,2,2,1,NULL
1986,2,2,1,NULL
1987,2,2,1,NULL
1988,2,2,1,NULL
1989,2,2,1,NULL
1990,2,2,1,NULL
1991,2,2,1,NULL
1992,2,2,1,NULL
1994,2,2,1,NULL
1996,2,2,1,NULL
1998,2,2,1,NULL
1999,2,2,1,9.0
2000,2,2,1,3.0
2001,2,2,1,NULL
2002,2,2,1,3.0
2003,2,2,1,4.0
2004,2,2,1,3.0
2005,2,2,1,NULL
2006,2,2,1,2.0
2007,2,2,1,1.0
2008,2,2,1,0.0
1980,3,2,1,NULL
1981,3,2,1,NULL
1982,3,2,1,NULL
1983,3,2,1,NULL
1984,3,2,1,NULL
1985,3,2,1,NULL
1986,3,2,1,NULL
1987,3,2,1,NULL
1988,3,2,1,NULL
1989,3,2,1,NULL
1990,3,2,1,NULL
1991,3,2,1,NULL
1997,3,2,1,5.0
1998,3,2,1,45.0
1999,3,2,1,25.0
2000,3,2,1,93.0
2001,3,2,1,146.0
2002,3,2,1,192.0
2003,3,2,1,245.0
2004,3,2,1,256.0
2005,3,2,1,320.0
2006,3,2,1,442.0
2007,3,2,1,475.0
2008,3,2,1,428.0
1980,4,2,1,NULL
1981,4,2,1,NULL
1982,4,2,1,NULL
1983,4,2,1,NULL
1984,4,2,1,NULL
1985,4,2,1,NULL
1986,4,2,1,NULL
1987,4,2,1,NULL
1988,4,2,1,NULL
1989,4,2,1,NULL
1990,4,2,1,NULL
1991,4,2,1,NULL
1992,4,2,1,NULL
1995,4,2,1,NULL
1996,4,2,1,0.0
1997,4,2,1,NULL
1998,4,2,1,NULL
1999,4,2,1,NULL
2000,4,2,1,1.0
2001,4,2,1,0.0
2002,4,2,1,2.0
2003,4,2,1,0.0
2004,4,2,1,NULL
2005,4,2,1,NULL
2006,4,2,1,NULL
2007,4,2,1,0.0
2008,4,2,1,NULL
1980,5,2,1,NULL
1981,5,2,1,NULL
1982,5,2,1,NULL
1983,5,2,1,NULL
1984,5,2,1,NULL
1985,5,2,1,NULL
1986,5,2,1,NULL
1987,5,2,1,NULL
1988,5,2,1,NULL
1989,5,2,1,NULL
1990,5,2,1,NULL
1991,5,2,1,NULL
1992,5,2,1,NULL
1995,5,2,1,NULL
1997,5,2,1,NULL
2001,5,2,1,NULL
2002,5,2,1,NULL
2003,5,2,1,NULL
2004,5,2,1,0.0
2006,5,2,1,NULL
2007,5,2,1,NULL
2008,5,2,1,NULL
1980,6,2,1,NULL
1981,6,2,1,NULL
1982,6,2,1,NULL
1983,6,2,1,NULL
1984,6,2,1,NULL
1985,6,2,1,NULL
1986,6,2,1,NULL
1987,6,2,1,NULL
1988,6,2,1,NULL
1989,6,2,1,NULL
1990,6,2,1,NULL
1991,6,2,1,NULL
1994,6,2,1,NULL
1995,6,2,1,0.0
1996,6,2,1,NULL
1997,6,2,1,1.0
1998,6,2,1,2.0
1999,6,2,1,0.0
2000,6,2,1,3.0
2001,6,2,1,1.0
2002,6,2,1,2.0
2003,6,2,1,2.0
2004,6,2,1,2.0
2005,6,2,1,0.0
2006,6,2,1,2.0
2007,6,2,1,2.0
2008,6,2,1,1.0
1980,7,2,1,NULL
1981,7,2,1,NULL
1982,7,2,1,NULL
1983,7,2,1,NULL
1984,7,2,1,NULL
1985,7,2,1,NULL
1986,7,2,1,NULL
1987,7,2,1,NULL
1988,7,2,1,NULL
1989,7,2,1,NULL
1990,7,2,1,NULL
1991,7,2,1,NULL
1992,7,2,1,NULL
1993,7,2,1,NULL
1994,7,2,1,NULL
1995,7,2,1,1.0
1996,7,2,1,0.0
1997,7,2,1,3.0
1998,7,2,1,1.0
1999,7,2,1,6.0
2000,7,2,1,1.0
2001,7,2,1,1.0
2002,7,2,1,2.0
2003,7,2,1,2.0
2004,7,2,1,1.0
2005,7,2,1,3.0
2006,7,2,1,3.0
2007,7,2,1,2.0
2008,7,2,1,4.0
1996,8,2,1,0.0
1997,8,2,1,0.0
1998,8,2,1,0.0
1999,8,2,1,0.0
2000,8,2,1,0.0
2001,8,2,1,0.0
2002,8,2,1,0.0
2003,8,2,1,0.0
2004,8,2,1,0.0
2005,8,2,1,NULL
2006,8,2,1,1.0
2007,8,2,1,NULL
2008,8,2,1,NULL
1980,9,2,1,NULL
1981,9,2,1,NULL
1982,9,2,1,NULL
1983,9,2,1,NULL
1984,9,2,1,NULL
1985,9,2,1,NULL
1986,9,2,1,NULL
1987,9,2,1,NULL
1988,9,2,1,NULL
1989,9,2,1,NULL
1990,9,2,1,NULL
1991,9,2,1,NULL
1992,9,2,1,NULL
1993,9,2,1,NULL
1994,9,2,1,NULL
1995,9,2,1,371.0
1996,9,2,1,388.0
1997,9,2,1,431.0
1998,9,2,1,297.0
1999,9,2,1,459.0
2000,9,2,1,247.0
2001,9,2,1,279.0
2002,9,2,1,640.0
2003,9,2,1,591.0
2004,9,2,1,733.0
2005,9,2,1,704.0
2006,9,2,1,689.0
2007,9,2,1,703.0
2008,9,2,1,512.0
1980,10,2,1,NULL
1981,10,2,1,NULL
1982,10,2,1,NULL
1983,10,2,1,NULL
1984,10,2,1,NULL
1985,10,2,1,NULL
1986,10,2,1,NULL
1987,10,2,1,NULL
1988,10,2,1,NULL
1989,10,2,1,NULL
1990,10,2,1,NULL
1991,10,2,1,NULL
1992,10,2,1,NULL
1993,10,2,1,NULL
1994,10,2,1,NULL
1995,10,2,1,NULL
1996,10,2,1,107.0
1997,10,2,1,133.0
1998,10,2,1,94.0
1999,10,2,1,108.0
2000,10,2,1,121.0
2001,10,2,1,85.0
2002,10,2,1,117.0
2003,10,2,1,99.0
2004,10,2,1,98.0
2005,10,2,1,90.0
2006,10,2,1,74.0
2007,10,2,1,70.0
2008,10,2,1,66.0
1980,11,2,1,NULL
1981,11,2,1,NULL
1982,11,2,1,NULL
1983,11,2,1,NULL
1984,11,2,1,NULL
1985,11,2,1,NULL
1986,11,2,1,NULL
1987,11,2,1,NULL
1988,11,2,1,NULL
1989,11,2,1,NULL
1990,11,2,1,NULL
1991,11,2,1,NULL
1992,11,2,1,NULL
1993,11,2,1,NULL
1994,11,2,1,NULL
1995,11,2,1,NULL
1996,11,2,1,NULL
1997,11,2,1,0.0
1998,11,2,1,NULL
1999,11,2,1,NULL
2000,11,2,1,NULL
2001,11,2,1,NULL
2002,11,2,1,NULL
2003,11,2,1,NULL
2004,11,2,1,NULL
2005,11,2,1,NULL
2006,11,2,1,NULL
2007,11,2,1,NULL
2008,11,2,1,NULL
1980,12,2,1,NULL
1981,12,2,1,NULL
1982,12,2,1,NULL
1983,12,2,1,NULL
1984,12,2,1,NULL
1985,12,2,1,NULL
1986,12,2,1,NULL
1987,12,2,1,NULL
1988,12,2,1,NULL
1989,12,2,1,NULL
1990,12,2,1,NULL
1991,12,2,1,NULL
1992,12,2,1,NULL
