,country,year,value,sex,age_group
0,AD,1989,,f,0-14
1,AD,1990,,f,0-14
2,AD,1991,,f,0-14
3,AD,1992,,f,0-14
4,AD,1993,,f,0-14
5,AD,1994,,f,0-14
6,AD,1996,0.0,f,0-14
7,AD,1997,0.0,f,0-14
8,AD,1998,,f,0-14
9,AD,1999,0.0,f,0-14
10,AD,2000,,f,0-14
11,AD,2001,,f,0-14
12,AD,2002,0.0,f,0-14
13,AD,2003,0.0,f,0-14
14,AD,2004,0.0,f,0-14
15,AD,2005,0.0,f,0-14
16,AD,2006,0.0,f,0-14
17,AD,2007,,f,0-14
18,AD,2008,0.0,f,0-14
19,AE,1980,,f,0-14
20,AE,1981,,f,0-14
21,AE,1982,,f,0-14
22,AE,1983,,f,0-14
23,AE,1984,,f,0-14
24,AE,1985,,f,0-14
25,AE,1986,,f,0-14
26,AE,1987,,f,0-14
27,AE,1988,,f,0-14
28,AE,1989,,f,0-14
29,AE,1990,,f,0-14
30,AE,1991,,f,0-14
31,AE,1992,,f,0-14
32,AE,1994,,f,0-14
33,AE,1996,,f,0-14
34,AE,1998,,f,0-14
35,AE,1999,9.0,f,0-14
36,AE,2000,3.0,f,0-14
37,AE,2001,,f,0-14
38,AE,2002,3.0,f,0-14
39,AE,2003,4.0,f,0-14
40,AE,2004,3.0,f,0-14
41,AE,2005,,f,0-14
42,AE,2006,2.0,f,0-14
43,AE,2007,1.0,f,0-14
44,AE,2008,0.0,f,0-14
45,AF,1980,,f,0-14
46,AF,1981,,f,0-14
47,AF,1982,,f,0-14
48,AF,1983,,f,0-14
49,AF,1984,,f,0-14
50,AF,1985,,f,0-14
51,AF,1986,,f,0-14
52,AF,1987,,f,0-14
53,AF,1988,,f,0-14
54,AF,1989,,f,0-14
55,AF,1990,,f,0-14
56,AF,1991,,f,0-14
57,AF,1997,5.0,f,0-14
58,AF,1998,45.0,f,0-14
59,AF,1999,25.0,f,0-14
60,AF,2000,93.0,f,0-14
61,AF,2001,146.0,f,0-14
62,AF,2002,192.0,f,0-14
63,AF,2003,245.0,f,0-14
64,AF,2004,256.0,f,0-14
65,AF,2005,320.0,f,0-14
66,AF,2006,442.0,f,0-14
67,AF,2007,475.0,f,0-14
68,AF,2008,428.0,f,0-14
69,AG,1980,,f,0-14
70,AG,1981,,f,0-14
71,AG,1982,,f,0-14
72,AG,1983,,f,0-14
73,AG,1984,,f,0-14
74,AG,1985,,f,0-14
75,AG,1986,,f,0-14
76,AG,1987,,f,0-14
77,AG,1988,,f,0-14
78,AG,1989,,f,0-14
79,AG,1990,,f,0-14
80,AG,1991,,f,0-14
81,AG,1992,,f,0-14
82,AG,1995,,f,0-14
83,AG,1996,0.0,f,0-14
84,AG,1997,,f,0-14
85,AG,1998,,f,0-14
86,AG,1999,,f,0-14
87,AG,2000,1.0,f,0-14
88,AG,2001,0.0,f,0-14
89,AG,2002,2.0,f,0-14
90,AG,2003,0.0,f,0-14
91,AG,2004,,f,0-14
92,AG,2005,,f,0-14
93,AG,2006,,f,0-14
94,AG,2007,0.0,f,0-14
95,AG,2008,,f,0-14
96,AI,1980,,f,0-14
97,AI,1981,,f,0-14
98,AI,1982,,f,0-14
99,AI,1983,,f,0-14
100,AI,1984,,f,0-14
101,AI,1985,,f,0-14
102,AI,1986,,f,0-14
103,AI,1987,,f,0-14
104,AI,1988,,f,0-14
105,AI,1989,,f,0-14
106,AI,1990,,f,0-14
107,AI,1991,,f,0-14
108,AI,1992,,f,0-14
109,AI,1995,,f,0-14
110,AI,1997,,f,0-14
111,AI,2001,,f,0-14
112,AI,2002,,f,0-14
113,AI,2003,,f,0-14
114,AI,2004,0.0,f,0-14
115,AI,2006,,f,0-14
116,AI,2007,,f,0-14
117,AI,2008,,f,0-14
118,AL,1980,,f,0-14
119,AL,1981,,f,0-14
120,AL,1982,,f,0-14
121,AL,1983,,f,0-14
122,AL,1984,,f,0-14
123,AL,1985,,f,0-14
124,AL,1986,,f,0-14
125,AL,1987,,f,0-14
126,AL,1988,,f,0-14
127,AL,1989,,f,0-14
128,AL,1990,,f,0-14
129,AL,1991,,f,0-14
130,AL,1994,,f,0-14
131,AL,1995,0.0,f,0-14
132,AL,1996,,f,0-14
133,AL,1997,1.0,f,0-14
134,AL,1998,2.0,f,0-14
135,AL,1999,0.0,f,0-14
136,AL,2000,3.0,f,0-14
137,AL,2001,1.0,f,0-14
138,AL,2002,2.0,f,0-14
139,AL,2003,2.0,f,0-14
140,AL,2004,2.0,f,0-14
141,AL,2005,0.0,f,0-14
142,AL,2006,2.0,f,0-14
143,AL,2007,2.0,f,0-14
144,AL,2008,1.0,f,0-14
145,AM,1980,,f,0-14
146,AM,1981,,f,0-14
147,AM,1982,,f,0-14
148,AM,1983,,f,0-14
149,AM,1984,,f,0-14
150,AM,1985,,f,0-14
151,AM,1986,,f,0-14
152,AM,1987,,f,0-14
153,AM,1988,,f,0-14
154,AM,1989,,f,0-14
155,AM,1990,,f,0-14
156,AM,1991,,f,0-14
157,AM,1992,,f,0-14
158,AM,1993,,f,0-14
159,AM,1994,,f,0-14
160,AM,1995,1.0,f,0-14
161,AM,1996,0.0,f,0-14
162,AM,1997,3.0,f,0-14
163,AM,1998,1.0,f,0-14
164,AM,1999,6.0,f,0-14
165,AM,2000,1.0,f,0-14
166,AM,2001,1.0,f,0-14
167,AM,2002,2.0,f,0-14
168,AM,2003,2.0,f,0-14
169,AM,2004,1.0,f,0-14
170,AM,2005,3.0,f,0-14
171,AM,2006,3.0,f,0-14
172,AM,2007,2.0,f,0-14
173,AM,2008,4.0,f,0-14
174,AN,1996,0.0,f,0-14
175,AN,1997,0.0,f,0-14
176,AN,1998,0.0,f,0-14
177,AN,1999,0.0,f,0-14
178,AN,2000,0.0,f,0-14
179,AN,2001,0.0,f,0-14
180,AN,2002,0.0,f,0-14
181,AN,2003,0.0,f,0-14
182,AN,2004,0.0,f,0-14
183,AN,2005,,f,0-14
184,AN,2006,1.0,f,0-14
185,AN,2007,,f,0-14
186,AN,2008,,f,0-14
187,AO,1980,,f,0-14
188,AO,1981,,f,0-14
189,AO,1982,,f,0-14
190,AO,1983,,f,0-14
191,AO,1984,,f,0-14
192,AO,1985,,f,0-14
193,AO,1986,,f,0-14
194,AO,1987,,f,0-14
195,AO,1988,,f,0-14
196,AO,1989,,f,0-14
197,AO,1990,,f,0-14
198,AO,1991,,f,0-14
199,AO,1992,,f,0-14
200,AO,1993,,f,0-14
201,AO,1994,,f,0-14
202,AO,1995,371.0,f,0-14
203,AO,1996,388.0,f,0-14
204,AO,1997,431.0,f,0-14
205,AO,1998,297.0,f,0-14
206,AO,1999,459.0,f,0-14
207,AO,2000,247.0,f,0-14
208,AO,2001,279.0,f,0-14
209,AO,2002,640.0,f,0-14
210,AO,2003,591.0,f,0-14
211,AO,2004,733.0,f,0-14
212,AO,2005,704.0,f,0-14
213,AO,2006,689.0,f,0-14
214,AO,2007,703.0,f,0-14
215,AO,2008,512.0,f,0-14
216,AR,1980,,f,0-14
217,AR,1981,,f,0-14
218,AR,1982,,f,0-14
219,AR,1983,,f,0-14
220,AR,1984,,f,0-14
221,AR,1985,,f,0-14
222,AR,1986,,f,0-14
223,AR,1987,,f,0-14
224,AR,1988,,f,0-14
225,AR,1989,,f,0-14
226,AR,1990,,f,0-14
227,AR,1991,,f,0-14
228,AR,1992,,f,0-14
229,AR,1993,,f,0-14
230,AR,1994,,f,0-14
231,AR,1995,,f,0-14
232,AR,1996,107.0,f,0-14
233,AR,1997,133.0,f,0-14
234,AR,1998,94.0,f,0-14
235,AR,1999,108.0,f,0-14
236,AR,2000,121.0,f,0-14
237,AR,2001,85.0,f,0-14
238,AR,2002,117.0,f,0-14
239,AR,2003,99.0,f,0-14
240,AR,2004,98.0,f,0-14
241,AR,2005,90.0,f,0-14
242,AR,2006,74.0,f,0-14
243,AR,2007,70.0,f,0-14
244,AR,2008,66.0,f,0-14
245,AS,1980,,f,0-14
246,AS,1981,,f,0-14
247,AS,1982,,f,0-14
248,AS,1983,,f,0-14
249,AS,1984,,f,0-14
250,AS,1985,,f,0-14
251,AS,1986,,f,0-14
252,AS,1987,,f,0-14
253,AS,1988,,f,0-14
254,AS,1989,,f,0-14
