date,AAPL_high,AMZN_high,GME_high,KO_high,TSLA_high,VZ_high
2020-09-01,134.800003,3513.870117,7.82,49.349998,502.48999,59.299999
2020-09-02,137.979996,3552.25,8.05,51.360001,479.040009,60.740002
2020-09-03,128.839996,3488.409912,8.45,52.139999,431.799988,61.279999
2020-09-04,123.699997,3381.5,7.92,51.470001,428,61.5
2020-09-08,118.989998,3250.850098,8.28,51.040001,368.73999,60.799999
2020-09-09,119.139999,3303.179932,7.99,50.759998,369,60.75
2020-09-10,120.5,3349.889893,6.95,50.68,398.98999,60.25
2020-09-11,115.230003,3217.340088,6.33,51.200001,382.5,59.959999
2020-09-14,115.93,3187.389893,7,51.23,420,60.779999
2020-09-15,118.830002,3175.02002,7.26,51.380001,461.940002,61.099998
2020-09-16,116,3187.23999,9.04,51.450001,457.790009,60.93
2020-09-17,112.199997,3029.429932,9.77,50.630001,437.790009,60.990002
2020-09-18,110.879997,3037.800049,9.77,51.16,451,60.939999
2020-09-21,110.190002,2962,9.6,50.02,455.679993,60.080002
2020-09-22,112.860001,3133.98999,11.17,50.040001,437.76001,60.369999
2020-09-23,112.110001,3127,10.86,49.919998,412.149994,60.139999
2020-09-24,110.25,3069.300049,9.81,49.099998,399.5,59.560001
2020-09-25,112.440002,3101.540039,10.18,48.759998,408.730011,59.450001
2020-09-28,115.32,3175.040039,10.26,49.709999,428.079987,59.799999
2020-09-29,115.309998,3188.26001,10.65,49.560001,428.5,59.490002
2020-09-30,117.260002,3212.879883,10.76,49.619999,433.929993,59.709999
2020-10-01,117.720001,3224,10.25,49.66,448.880005,59.599998
2020-10-02,115.370003,3195.800049,9.78,49.580002,439.130005,59.549999
2020-10-05,116.650002,3202.530029,9.59,49.549999,433.640015,59.84
2020-10-06,116.120003,3182,9.84,49.73,428.779999,59.970001
2020-10-07,115.550003,3200,9.56,49.759998,429.899994,59.779999
2020-10-08,116.400002,3233.290039,13.64,50.540001,439,59.73
2020-10-09,117,3288.98999,14.8,51.23,434.589996,59.540001
2020-10-12,125.18,3496.23999,12.77,51.529999,448.73999,59.68
2020-10-13,125.389999,3492.379883,12.42,50.990002,448.890015,59.720001
2020-10-14,123.029999,3464.879883,12.68,50.490002,465.899994,59.52
2020-10-15,121.199997,3355.879883,15.1,50.130001,456.570007,58.279999
2020-10-16,121.550003,3399.659912,13.9,50.349998,455.950012,58.43
2020-10-19,120.419998,3329,14.5,50.48,447,58.290001
2020-10-20,118.980003,3266,14.14,50.619999,431.75,57.669998
2020-10-21,118.709999,3233.879883,14.42,50.43,432.950012,57.709999
2020-10-22,118.040001,3198.75,15.87,51.200001,445.230011,57.66
2020-10-23,116.550003,3205.330078,15.38,51.18,422.890015,57.970001
2020-10-26,116.550003,3282.97998,15.45,50.509998,425.76001,57.849998
2020-10-27,117.279999,3291.659912,13.71,50.290001,430.5,57.849998
2020-10-28,115.43,3264.02002,13.05,49.150002,418.600006,57.349998
2020-10-29,116.93,3257.25,12.25,48.48,418.059998,57.310001
2020-10-30,111.989998,3167,11.64,48.119999,407.589996,57.07
2020-11-02,110.68,3079.709961,11.09,48.950001,406.980011,58.209999
2020-11-03,111.489998,3074.899902,11.86,49.959999,427.769989,58.380001
2020-11-04,115.589996,3244.850098,11.77,50.209999,435.399994,57.849998
2020-11-05,119.620003,3366.800049,11.84,50.209999,440,58.970001
2020-11-06,119.199997,3322,12.17,49.990002,436.570007,58.75
2020-11-09,121.989998,3289,12.93,53.259998,452.5,60.580002
2020-11-10,117.589996,3114,11.66,54.279999,420.089996,61.41
2020-11-11,119.629997,3139.149902,11.95,54.299999,418.700012,61.349998
2020-11-12,120.529999,3175.879883,11.87,53.209999,423,61.009998
2020-11-13,119.669998,3141.719971,11.55,53.5,412.529999,61.189999
2020-11-16,120.989998,3142.699951,12.66,54.619999,412.450012,61.459999
2020-11-17,120.669998,3189.25,11.92,53.75,462,61.02
2020-11-18,119.82,3140,12.04,54.02,496,61.150002
2020-11-19,119.059998,3125,12.79,53.23,508.609985,60.439999
2020-11-20,118.769997,3132.889893,13.46,53.25,502.5,60.330002
2020-11-23,117.620003,3139.75,14.12,53.169998,526,60.389999
2020-11-24,115.849998,3134.25,14.26,53.59,559.98999,60.799999
2020-11-25,116.75,3198,15.25,53.279999,574,60.740002
2020-11-27,117.489998,3216.189941,16.74,53.189999,598.780029,60.740002
2020-11-30,120.970001,3228.389893,19.42,52.189999,607.799988,60.599998
2020-12-01,123.470001,3248.949951,17.4,52.330002,597.849976,60.919998
2020-12-02,123.370003,3232,16.68,52.130001,571.539978,61.950001
2020-12-03,123.779999,3228.639893,16.639999,52.939999,598.969971,61.830002
2020-12-04,122.860001,3198.209961,17.290001,53.869999,599.039978,61.799999
2020-12-07,124.57,3180.76001,17.5,53.779999,648.789978,61.700001
2020-12-08,124.980003,3184.129883,17.209999,53.48,651.280029,61.700001
2020-12-09,125.949997,3174.429932,14.73,53.599998,654.320007,61.82
2020-12-10,123.870003,3142.100098,14.41,53.509998,627.75,61.349998
2020-12-11,122.760002,3118.669922,14,53.540001,624,60.529999
2020-12-14,123.349998,3190.469971,13.43,53.84,642.75,61.060001
2020-12-15,127.900002,3188.5,14.02,54.220001,646.900024,60.740002
2020-12-16,128.369995,3247,14.31,53.799999,632.5,60.450001
2020-12-17,129.580002,3263.51001,14.98,53.709999,658.820007,60.150002
2020-12-18,129.100006,3249.419922,16.299999,53.84,695,60.779999
2020-12-21,128.309998,3226.969971,16.35,53,668.5,60.130001
2020-12-22,134.410004,3222,20.040001,53.18,649.880005,59.419998
2020-12-23,132.429993,3210.129883,22.35,53.389999,651.5,59.279999
2020-12-24,133.460007,3202,21.48,53.549999,666.090027,59.07
2020-12-28,137.339996,3304,21.969999,54.439999,681.400024,59.18
2020-12-29,138.789993,3350.649902,21.07,54.490002,669.900024,59.240002
2020-12-30,135.990005,3342.100098,20,54.630001,696.599976,58.939999
2020-12-31,134.740005,3282.919922,19.799999,54.93,718.719971,58.799999
2021-01-04,133.610001,3272,19.1,54.630001,744.48999,59.150002
2021-01-05,131.740005,3223.379883,18.08,52.619999,740.840027,59.09
2021-01-06,131.050003,3197.51001,18.98,52.02,774,59.540001
2021-01-07,131.630005,3208.540039,19.450001,50.259998,816.98999,58.759998
2021-01-08,132.630005,3190.639893,18.299999,51.130001,884.48999,58.360001
2021-01-11,130.169998,3156.379883,20.65,50.860001,854.429993,58.049999
2021-01-12,129.690002,3142.139893,20.4,50.369999,868,57.450001
2021-01-13,131.449997,3189.949951,38.650002,50.360001,860.469971,57.25
2021-01-14,131,3178,43.060001,50.18,863,57.43
2021-01-15,130.220001,3142.550049,40.75,49.18,859.900024,57.5
2021-01-19,128.710007,3145,45.52,49.040001,850,57.580002
2021-01-20,132.490005,3279.800049,41.189999,48.82,859.5,57.389999
2021-01-21,139.669998,3348.550049,44.75,49.09,855.719971,57.509998
2021-01-22,139.850006,3321.909912,76.760002,48.939999,848,57.689999
2021-01-25,145.089996,3363.889893,159.179993,48.84,900.400024,58.619999
