date,AAPL_low,AMZN_low,GME_low,KO_low,TSLA_low,VZ_low
2020-09-01,130.529999,3467,6.77,48.830002,470.51001,58.779999
2020-09-02,127,3486.689941,7.11,49.360001,405.119995,59
2020-09-03,120.5,3303,7.24,50.099998,402,60.139999
2020-09-04,110.889999,3111.129883,7.17,50.279999,372.019989,60.060001
2020-09-08,112.68,3130,7.48,49.360001,329.880005,59.619999
2020-09-09,115.260002,3185,7.31,49.549999,341.51001,59.970001
2020-09-10,112.5,3170.550049,6.19,49.950001,360.559998,59.41
2020-09-11,110,3083.97998,5.87,50.099998,360.5,59.360001
2020-09-14,112.800003,3096,6.43,50.57,373.299988,60
2020-09-15,113.610001,3108.919922,6.69,50.84,430.700012,60.099998
2020-09-16,112.040001,3074.149902,7.03,50.740002,435.309998,60.32
2020-09-17,108.709999,2972.550049,8.41,49.939999,408,60.099998
2020-09-18,106.089996,2905.540039,8.91,50.209999,428.799988,60.150002
2020-09-21,103.099998,2871,8.38,48.610001,407.070007,59.02
2020-09-22,109.160004,3000.199951,9.9,49.07,417.600006,59.52
2020-09-23,106.769997,2992.379883,9.92,48.169998,375.880005,58.849998
2020-09-24,105,2965,9.01,47.560001,351.299988,58.650002
2020-09-25,107.669998,2999,9.1,47.98,391.299988,58.810001
2020-09-28,112.779999,3117.169922,9.55,49.139999,415.549988,59.18
2020-09-29,113.57,3132.540039,9.93,48.91,411.600006,59.099998
2020-09-30,113.620003,3133.98999,10.06,48.889999,420.470001,59.049999
2020-10-01,115.830002,3172,9.69,48.59,434.420013,59.029999
2020-10-02,112.220001,3123,9.3,48.549999,415,59.110001
2020-10-05,113.550003,3140.850098,9.25,49.119999,419.329987,59.259998
2020-10-06,112.25,3090,9.1,48.830002,406.049988,59.330002
2020-10-07,114.129997,3132.389893,9.17,48.950001,413.850006,59.200001
2020-10-08,114.589996,3174.98999,9.19,49.540001,425.299988,58.970001
2020-10-09,114.919998,3197.830078,11.9,50.599998,426.459991,59.080002
2020-10-12,119.279999,3339.550049,11.4,50.830002,438.579987,59.150002
2020-10-13,119.650002,3424.219971,11.65,49.900002,436.600006,58.849998
2020-10-14,119.620003,3340,12.05,49.650002,447.350006,58.389999
2020-10-15,118.150002,3280,11.99,49.299999,442.5,57.720001
2020-10-16,118.809998,3160,13.08,49.869999,438.850006,58.009998
2020-10-19,115.660004,3192.73999,13.38,49.459999,428.869995,57.080002
2020-10-20,115.629997,3192.01001,13.67,49.790001,419.049988,56.759998
2020-10-21,116.449997,3160,13.8,49.77,421.25,56.689999
2020-10-22,114.589996,3121.939941,14.19,50.380001,424.51001,56.509998
2020-10-23,114.279999,3140,14.55,50.470001,407.380005,57.459999
2020-10-26,112.879997,3153.300049,13.26,49.200001,410,56.970001
2020-10-27,114.540001,3211.300049,12.36,49.549999,420.100006,57.310001
