date,stock_type,price_type,price
2020-09-01,AAPL,open,132.759995
2020-09-02,AAPL,open,137.589996
2020-09-03,AAPL,open,126.910004
2020-09-04,AAPL,open,120.07
2020-09-08,AAPL,open,113.949997
2020-09-09,AAPL,open,117.260002
2020-09-10,AAPL,open,120.360001
2020-09-11,AAPL,open,114.57
2020-09-14,AAPL,open,114.720001
2020-09-15,AAPL,open,118.330002
2020-09-16,AAPL,open,115.230003
2020-09-17,AAPL,open,109.720001
2020-09-18,AAPL,open,110.400002
2020-09-21,AAPL,open,104.540001
2020-09-22,AAPL,open,112.68
2020-09-23,AAPL,open,111.620003
2020-09-24,AAPL,open,105.169998
2020-09-25,AAPL,open,108.43
2020-09-28,AAPL,open,115.010002
2020-09-29,AAPL,open,114.550003
2020-09-30,AAPL,open,113.790001
2020-10-01,AAPL,open,117.639999
2020-10-02,AAPL,open,112.889999
2020-10-05,AAPL,open,113.910004
2020-10-06,AAPL,open,115.699997
2020-10-07,AAPL,open,114.620003
2020-10-08,AAPL,open,116.25
2020-10-09,AAPL,open,115.279999
2020-10-12,AAPL,open,120.059998
2020-10-13,AAPL,open,125.269997
2020-10-14,AAPL,open,121.0
2020-10-15,AAPL,open,118.720001
2020-10-16,AAPL,open,121.279999
2020-10-19,AAPL,open,119.959999
2020-10-20,AAPL,open,116.199997
2020-10-21,AAPL,open,116.669998
2020-10-22,AAPL,open,117.449997
2020-10-23,AAPL,open,116.389999
2020-10-26,AAPL,open,114.010002
2020-10-27,AAPL,open,115.489998
2020-10-28,AAPL,open,115.050003
2020-10-29,AAPL,open,112.370003
2020-10-30,AAPL,open,111.059998
2020-11-02,AAPL,open,109.110001
2020-11-03,AAPL,open,109.660004
2020-11-04,AAPL,open,114.139999
2020-11-05,AAPL,open,117.949997
2020-11-06,AAPL,open,118.32
2020-11-09,AAPL,open,120.5
2020-11-10,AAPL,open,115.550003
2020-11-11,AAPL,open,117.190002
2020-11-12,AAPL,open,119.620003
2020-11-13,AAPL,open,119.440002
2020-11-16,AAPL,open,118.919998
2020-11-17,AAPL,open,119.550003
2020-11-18,AAPL,open,118.610001
2020-11-19,AAPL,open,117.589996
2020-11-20,AAPL,open,118.639999
2020-11-23,AAPL,open,117.18
2020-11-24,AAPL,open,113.910004
2020-11-25,AAPL,open,115.550003
2020-11-27,AAPL,open,116.57
2020-11-30,AAPL,open,116.970001
2020-12-01,AAPL,open,121.010002
2020-12-02,AAPL,open,122.019997
2020-12-03,AAPL,open,123.519997
2020-12-04,AAPL,open,122.599998
2020-12-07,AAPL,open,122.309998
2020-12-08,AAPL,open,124.370003
2020-12-09,AAPL,open,124.529999
2020-12-10,AAPL,open,120.5
2020-12-11,AAPL,open,122.43
2020-12-14,AAPL,open,122.599998
2020-12-15,AAPL,open,124.339996
2020-12-16,AAPL,open,127.410004
2020-12-17,AAPL,open,128.899994
2020-12-18,AAPL,open,128.960007
2020-12-21,AAPL,open,125.019997
2020-12-22,AAPL,open,131.610001
2020-12-23,AAPL,open,132.160004
2020-12-24,AAPL,open,131.320007
2020-12-28,AAPL,open,133.990005
2020-12-29,AAPL,open,138.050003
2020-12-30,AAPL,open,135.580002
2020-12-31,AAPL,open,134.080002
2021-01-04,AAPL,open,133.520004
2021-01-05,AAPL,open,128.889999
2021-01-06,AAPL,open,127.720001
2021-01-07,AAPL,open,128.360001
2021-01-08,AAPL,open,132.429993
2021-01-11,AAPL,open,129.190002
2021-01-12,AAPL,open,128.5
2021-01-13,AAPL,open,128.759995
2021-01-14,AAPL,open,130.800003
2021-01-15,AAPL,open,128.779999
2021-01-19,AAPL,open,127.779999
2021-01-20,AAPL,open,128.660004
2021-01-21,AAPL,open,133.800003
2021-01-22,AAPL,open,136.279999
2021-01-25,AAPL,open,143.070007
2020-09-01,AMZN,open,3489.580078
2020-09-02,AMZN,open,3547.0
2020-09-03,AMZN,open,3485.0
2020-09-04,AMZN,open,3318.0
2020-09-08,AMZN,open,3144.0
2020-09-09,AMZN,open,3202.98999
2020-09-10,AMZN,open,3307.219971
2020-09-11,AMZN,open,3208.689941
2020-09-14,AMZN,open,3172.939941
2020-09-15,AMZN,open,3136.159912
2020-09-16,AMZN,open,3179.98999
2020-09-17,AMZN,open,3009.25
2020-09-18,AMZN,open,3031.73999
2020-09-21,AMZN,open,2906.5
2020-09-22,AMZN,open,3033.840088
2020-09-23,AMZN,open,3120.429932
2020-09-24,AMZN,open,2977.790039
