playerID,yearID,lgID,teamID,stint,G,AB,H,HR
adducji02,2019,NL,CHN,1,2,5,0,0
agrazda01,2019,NL,PIT,1,15,22,2,0
aguilje01,2019,NL,MIL,1,94,222,50,8
aguilje01,2019,AL,TBA,2,37,92,24,4
alanirj01,2019,AL,SEA,1,4,0,0,0
alanirj01,2019,NL,CIN,2,8,1,1,0
alberma01,2019,NL,MIL,1,67,0,0,0
almoral01,2019,NL,CHN,1,130,339,80,12
alzolad01,2019,NL,CHN,1,4,5,0,0
anderch01,2019,NL,MIL,1,33,40,4,0
aquinar01,2019,NL,CIN,1,56,205,53,19
archech01,2019,NL,PIT,1,23,35,4,0
arciaor01,2019,NL,MIL,1,152,494,110,15
arozara01,2019,NL,SLN,1,19,20,6,1
austity01,2019,AL,MIN,1,2,4,1,0
austity01,2019,NL,SFN,2,70,130,24,8
austity01,2019,NL,MIL,3,17,20,4,1
baderha01,2019,NL,SLN,1,128,347,71,12
baezja01,2019,NL,CHN,1,138,531,149,29
barneja01,2019,NL,MIL,1,18,0,0,0
barneja01,2019,AL,KCA,2,15,0,0,0
barneto01,2019,NL,CHN,1,2,0,0,0
barnhtu01,2019,NL,CIN,1,114,316,73,11
baronst01,2019,NL,PIT,1,7,10,2,0
bauertr01,2019,AL,CLE,1,24,5,1,0
bauertr01,2019,NL,CIN,2,10,14,2,0
belljo02,2019,NL,PIT,1,143,527,146,37
blackra01,2019,NL,SFN,1,2,0,0,0
blackra01,2019,NL,MIL,2,15,0,0,0
blandal01,2019,NL,CIN,1,23,36,9,1
boteda01,2019,NL,CHN,1,127,303,78,11
bowmama01,2019,NL,CIN,1,27,1,0,0
brachbr01,2019,NL,CHN,1,43,4,1,0
brachbr01,2019,NL,NYN,2,16,0,0,0
braulst01,2019,NL,PIT,1,34,42,14,1
braunry02,2019,NL,MIL,1,144,459,131,22
brebbjo01,2019,NL,SLN,1,66,1,1,0
bryankr01,2019,NL,CHN,1,147,543,153,31
burdini01,2019,NL,PIT,1,11,0,0,0
burneco01,2019,NL,MIL,1,32,7,2,0
cabrege01,2019,NL,SLN,1,13,4,0,0
cabreme01,2019,NL,PIT,1,133,378,106,7
cainlo01,2019,NL,MIL,1,148,562,146,11
caratvi01,2019,NL,CHN,1,95,244,65,11
carpema01,2019,NL,SLN,1,129,416,94,15
casalcu01,2019,NL,CIN,1,84,207,52,8
casteni01,2019,AL,DET,1,100,403,110,11
casteni01,2019,NL,CHN,2,51,212,68,16
castilu02,2019,NL,CIN,1,32,62,6,0
cedenxa01,2019,NL,CHN,1,5,0,0,0
cervefr01,2019,NL,PIT,1,34,109,21,1
cervefr01,2019,NL,ATL,2,14,32,9,2
chacijh01,2019,NL,MIL,1,19,24,3,1
chacijh01,2019,AL,BOS,2,6,0,0,0
chatwty01,2019,NL,CHN,1,41,18,3,0
cishest01,2019,NL,CHN,1,70,2,0,0
claudal01,2019,NL,MIL,1,83,0,0,0
colliti01,2019,NL,CHN,1,9,0,0,0
colonch01,2019,NL,CIN,1,8,6,3,0
contrwi01,2019,NL,CHN,1,105,360,98,24
crickky01,2019,NL,PIT,1,52,0,0,0
darviyu01,2019,NL,CHN,1,31,56,5,0
davieza01,2019,NL,MIL,1,35,52,8,0
davisro03,2019,NL,PIT,1,5,1,0,0
davista01,2019,NL,CHN,1,7,18,3,1
dejonpa01,2019,NL,SLN,1,159,583,136,30
descada01,2019,NL,CHN,1,82,168,29,2
desclan01,2019,NL,CIN,1,31,55,6,0
diazel01,2019,NL,PIT,1,101,303,73,2
dickeco01,2019,NL,PIT,1,44,127,40,4
dickeco01,2019,NL,PHI,2,34,133,39,8
dietrde01,2019,NL,CIN,1,113,251,47,19
dubonma01,2019,NL,MIL,1,2,2,0,0
dubonma01,2019,NL,SFN,2,28,104,29,4
dukeza01,2019,NL,CIN,1,30,0,0,0
durapmo01,2019,NL,PIT,1,14,4,1,0
edmanto01,2019,NL,SLN,1,92,326,99,11
edwarca01,2019,NL,CHN,1,20,0,0,0
edwarca01,2019,NL,SDN,2,2,0,0,0
elmorja01,2019,NL,PIT,1,20,47,10,0
ervinph01,2019,NL,CIN,1,94,236,64,7
escoblu01,2019,NL,PIT,1,4,2,0,0
fariaja01,2019,AL,TBA,1,7,0,0,0
fariaja01,2019,NL,MIL,2,9,0,0,0
farmeky01,2019,NL,CIN,1,97,183,42,9
felizmi01,2019,NL,PIT,1,58,0,0,0
fernaju01,2019,NL,SLN,1,13,0,0,0
flaheja01,2019,NL,SLN,1,38,54,10,0
fowlede01,2019,NL,SLN,1,150,487,116,19
fraziad01,2019,NL,PIT,1,152,554,154,10
